-564,636,-16792,122,101,28,50378600
-612,528,-16900,173,212,28,50576839
-632,504,-16696,786,24321,4609,3275292674
-652,500,-16920,156,133,39,50971300
-616,532,-16900,170,151,0,51167759
-556,524,-16756,323,321,23,51365875
-524,560,-16820,194,201,20,34788460
-632,628,-16860,191,153,7,51766382
-624,512,-16664,281,329,34,51967631
-528,648,-16784,198,178,-2,52167534
-560,624,-16884,140,161,23,52367232
-632,492,-16728,316,334,8,52565471
-680,512,-16900,171,130,26,52959947
-592,544,-16880,270,290,14,53156522
-496,576,-16764,196,244,-29,53355386
-600,548,-20804,37,287,0,53756522
-548,456,-16776,230,251,12,53957925
-652,584,-16900,108,101,786,979521792
-620,532,-16836,232,262,2,54555888
-620,564,-16800,158,116,-17,54753370
-640,600,-16736,260,249,14,54949829
-600,560,-16712,243,305,28,55147001
-556,572,-16756,128,142,33,55345923
-704,588,-16768,207,198,-4,55546748
-568,552,-16728,259,353,10,55748017
-648,608,-16768,116,125,35,55948651
-608,504,-16740,177,189,-4,56149352
-536,580,-16888,315,331,37,56348959
-620,560,-16900,151,127,39,56547941
-584,540,-16800,168,169,26,56745348
-488,616,-16864,194,187,28,57140623
-600,548,-16820,145,182,-216,57341132
-580,528,-16688,305,365,10,57542536
-644,532,-16824,182,206,44,57744789
-632,564,-16832,136,141,-11,57946209
-572,556,-16740,284,314,35,58146204
-568,568,-16816,202,215,39,58345887
-580,660,-16932,118,137,14,58544023
-540,560,-16684,267,331,32,58741430
-652,544,-16744,295,230,-7,58940281
-568,588,-16884,96,129,30,59138520
-520,544,-16760,272,292,9,59339904
-608,560,-16796,214,249,11,59542987
-620,536,-16848,118,127,-3,59745316
-536,624,-16792,243,310,-4,59945963
-500,544,-16808,241,258,-3,60145765
-632,556,-16844,122,119,7,60344077
-596,508,-16792,226,314,1,60541349
-564,564,-16816,268,293,2,60739290
-508,548,-16808,140,135,23,60939300
-568,592,-16784,227,243,0,61141568
-580,540,-16652,530,14849,6657,2819137792
-636,536,-16924,146,106,8,61546184
-596,580,-16780,185,232,-4,61748331
-592,652,-16684,281,293,6,61948401
-604,680,-16684,117,121,47,62148006
-676,620,-16916,217,217,11,62345411
-584,464,-16632,303,327,28,62543414
-692,612,-16780,124,184,22,62743171
-636,592,-16824,198,172,-10,62945536
-528,472,-16760,303,296,11,63147737
-632,512,-16776,177,168,24,63350852
-560,664,-16812,142,185,530,3384501504
-564,568,-16756,269,341,-14,63753626
-604,552,-16724,240,203,26,63953440
-612,584,-16848,156,192,21,64151753
-572,572,-16752,262,313,-10,64349872
-576,512,-16812,178,530,6401,3639995392
-552,664,-16940,90,111,-22,64752672
-524,540,-16840,198,220,39,65158653
-636,584,-16852,136,114,23,65361018
-624,572,-16784,290,321,15,3898868498
